Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Year
United States,0.485,0.061,0.211,0.143,0.013,0.086,2021
Alabama,0.466,0.06,0.192,0.162,0.021,0.1,2021
Alaska,0.433,0.041,0.257,0.107,0.053,0.108,2021
Arizona,0.45,0.054,0.213,0.162,0.015,0.106,2021
Arkansas,0.411,0.056,0.27,0.156,0.015,0.092,2021
California,0.47,0.07,0.265,0.117,0.008,0.07,2021
Colorado,0.513,0.07,0.185,0.131,0.022,0.08,2021
Connecticut,0.519,0.055,0.226,0.141,0.007,0.051,2021
Delaware,0.488,0.062,0.206,0.176,0.012,0.057,2021
District of Columbia,0.564,0.054,0.249,0.084,0.012,0.037,2021
Florida,0.4,0.104,0.178,0.179,0.017,0.121,2021
Georgia,0.483,0.061,0.18,0.127,0.022,0.127,2021
Hawaii,0.51,0.045,0.204,0.161,0.044,0.037,2021
Idaho,0.479,0.066,0.201,0.149,0.018,0.085,2021
Illinois,0.532,0.052,0.198,0.143,0.007,0.069,2021
Indiana,0.525,0.045,0.198,0.148,0.009,0.075,2021
Iowa,0.533,0.053,0.2,0.156,0.008,0.049,2021
Kansas,0.53,0.06,0.152,0.147,0.019,0.092,2021
Kentucky,0.445,0.043,0.289,0.154,0.012,0.056,2021
Louisiana,0.407,0.047,0.32,0.136,0.015,0.075,2021
Maine,0.487,0.066,0.195,0.185,0.014,0.054,2021
Maryland,0.53,0.056,0.203,0.132,0.019,0.061,2021
Massachusetts,0.547,0.06,0.232,0.134,0.004,0.025,2021
Michigan,0.5,0.049,0.235,0.159,0.005,0.051,2021
Minnesota,0.559,0.055,0.185,0.153,0.006,0.043,2021
Mississippi,0.421,0.055,0.24,0.145,0.02,0.119,2021
Missouri,0.521,0.062,0.147,0.164,0.013,0.093,2021
Montana,0.437,0.084,0.198,0.176,0.025,0.08,2021
Nebraska,0.553,0.067,0.149,0.142,0.018,0.07,2021
Nevada,0.463,0.06,0.208,0.141,0.015,0.114,2021
New Hampshire,0.577,0.05,0.135,0.176,0.012,0.05,2021
New Jersey,0.546,0.057,0.184,0.138,0.004,0.072,2021
New Mexico,0.34,0.044,0.344,0.156,0.016,0.1,2021
New York,0.476,0.059,0.276,0.133,0.004,0.052,2021
North Carolina,0.46,0.069,0.188,0.155,0.025,0.104,2021
North Dakota,0.575,0.079,0.098,0.144,0.027,0.077,2021
Ohio,0.507,0.044,0.216,0.16,0.008,0.065,2021
Oklahoma,0.429,0.055,0.201,0.155,0.023,0.138,2021
Oregon,0.473,0.056,0.238,0.163,0.009,0.061,2021
Pennsylvania,0.516,0.053,0.208,0.163,0.005,0.054,2021
Rhode Island,0.505,0.056,0.239,0.151,0.005,0.043,2021
South Carolina,0.439,0.068,0.201,0.17,0.022,0.1,2021
South Dakota,0.498,0.088,0.138,0.155,0.027,0.094,2021
Tennessee,0.476,0.06,0.196,0.15,0.017,0.101,2021
Texas,0.461,0.06,0.169,0.111,0.018,0.18,2021
Utah,0.593,0.09,0.11,0.102,0.013,0.091,2021
Vermont,0.483,0.053,0.246,0.176,0,0.033,2021
Virginia,0.539,0.048,0.155,0.149,0.041,0.068,2021
Washington,0.518,0.051,0.21,0.138,0.019,0.065,2021
West Virginia,0.425,0.032,0.281,0.189,0.01,0.062,2021
Wisconsin,0.544,0.053,0.181,0.16,0.008,0.054,2021
Wyoming,0.495,0.085,0.115,0.169,0.021,0.115,2021
Puerto Rico,0.228,0.087,0.469,0.152,0.006,0.058,2021
